Rxn name	Formula	Gene-reaction association	LB	UB	Objective
r_0001	s_0025[c][c] + 2 s_0709[m][m]  -> 2 s_0710[m][m] + s_1399[c][c] 	(((G_YDL174C) and (G_YEL039C)) or ((G_YDL174C) and (G_YJR048W)) or ((G_YEL039C) and (G_YEL071W)) or ((G_YEL071W) and (G_YJR048W)))	  0.00	1000.00	  0.00
r_0002	s_0027[m][m] + 2 s_0709[m][m]  -> 2 s_0710[m][m] + s_1401[m][m] 	(((G_YDL178W) and (G_YEL039C)) or ((G_YDL178W) and (G_YJR048W)))	  0.00	1000.00	  0.00
r_0003	s_0035[c][c] + s_1198[c][c]  <=> s_0020[c][c] + s_0794[c][c] + s_1203[c][c] 	(G_YAL060W)	-1000.00	1000.00	  0.00
r_0004	s_0063[c][c] + 2 s_0709[m][m]  -> 2 s_0710[m][m] + s_1399[c][c] 	(((G_YEL039C) and (G_YML054C)) or ((G_YJR048W) and (G_YML054C)))	  0.00	1000.00	  0.00
r_0006	s_1543[c][c]  -> s_0004[ce][ce] + s_0794[c][c] + s_1538[c][c] 	((G_YGR143W) or (G_YPR159W))	  0.00	1000.00	  0.00
r_0007	s_0077[c][c]  -> s_0312[c][c] 	(G_YIL020C)	  0.00	1000.00	  0.00
r_0012	s_0119[m][m] + 2 s_0807[m][m] + s_1200[m][m]  <=> s_0799[m][m] + s_0993[m][m] + s_1205[m][m] 	(G_YHR037W)	-1000.00	1000.00	  0.00
r_0013	s_0311[c][c] + 3 s_0803[c][c]  -> s_0294[c][c] + s_0722[c][c] + 6 s_0794[c][c] + s_1322[c][c] 	((G_YEL038W) and (G_YMR009W))	  0.00	1000.00	  0.00
r_0014	s_0142[c][c] + s_0794[c][c] + s_0803[c][c]  -> s_0313[c][c] + s_0419[c][c] 	(G_YOL066C)	  0.00	1000.00	  0.00
r_0015	s_0141[c][c] + s_0794[c][c] + s_1212[c][c]  -> s_0142[c][c] + s_1207[c][c] 	(G_YBR153W)	  0.00	1000.00	  0.00
r_0016	s_0179[m][m] + s_0799[m][m] + s_1401[m][m]  -> s_0039[m][m] + s_0460[m][m] 	(((G_YCL009C) and (G_YMR108W)) or (G_YMR108W))	  0.00	1000.00	  0.00
r_0017	s_0148[m][m] + s_0437[m][m]  -> s_0006[m][m] + s_0424[m][m] + s_0799[m][m] 	(G_YNL256W)	  0.00	1000.00	  0.00
r_0018	s_0176[c][c] + s_0991[c][c]  <=> s_0180[c][c] + s_0953[c][c] 	((G_YER152C) or (G_YGL202W) or (G_YJL060W))	-1000.00	1000.00	  0.00
r_0019	s_0149[c][c] + s_0794[c][c] + s_1212[c][c]  -> s_0030[c][c] + s_1207[c][c] 	(G_YHR063C)	  0.00	1000.00	  0.00
r_0020	s_0552[m][m] + s_0807[m][m] + s_1361[m][m]  -> s_0350[m][m] + s_1326[m][m] 	(G_YDR035W)	  0.00	1000.00	  0.00
