Rxn name	Formula	Gene-reaction association	LB	UB	Objective
12PPDt	12ppd_DASH_S[e]  <=> 12ppd_DASH_S[c] 		-1000.00	1000.00	  0.00
2DGLCNRx	2dhglcn[c] + h[c] + nadh[c]  -> glcn[c] + nad[c] 	(b3553)	  0.00	1000.00	  0.00
2DGLCNRy	2dhglcn[c] + h[c] + nadph[c]  -> glcn[c] + nadp[c] 	(b3553)	  0.00	1000.00	  0.00
2DGULRx	2dhguln[c] + h[c] + nadh[c]  -> idon_DASH_L[c] + nad[c] 	(b3553)	  0.00	1000.00	  0.00
2DGULRy	2dhguln[c] + h[c] + nadph[c]  -> idon_DASH_L[c] + nadp[c] 	(b3553)	  0.00	1000.00	  0.00
3HCINNMH	3hcinnm[c] + h[c] + nadh[c] + o2[c]  -> dhcinnm[c] + h2o[c] + nad[c] 	(b0347)	  0.00	1000.00	  0.00
3HPPPNH	3hpppn[c] + h[c] + nadh[c] + o2[c]  -> dhpppn[c] + h2o[c] + nad[c] 	(b0347)	  0.00	1000.00	  0.00
4HTHRS	h2o[c] + phthr[c]  -> 4hthr[c] + pi[c] 	(b0004)	  0.00	1000.00	  0.00
5DGLCNR	5dglcn[c] + h[c] + nadph[c]  <=> glcn[c] + nadp[c] 	(b4266)	-1000.00	1000.00	  0.00
A5PISO	ru5p_DASH_D[c]  <=> ara5p[c] 		-1000.00	1000.00	  0.00
AACPS1	ACP[c] + atp[c] + ttdca[c]  -> amp[c] + myrsACP[c] + ppi[c] 	(b2836)	  0.00	1000.00	  0.00
AACPS2	ACP[c] + atp[c] + ttdcea[c]  -> amp[c] + ppi[c] + tdeACP[c] 	(b2836)	  0.00	1000.00	  0.00
AACPS3	ACP[c] + atp[c] + hdca[c]  -> amp[c] + palmACP[c] + ppi[c] 	(b2836)	  0.00	1000.00	  0.00
AACPS4	ACP[c] + atp[c] + hdcea[c]  -> amp[c] + hdeACP[c] + ppi[c] 	(b2836)	  0.00	1000.00	  0.00
AACPS5	ACP[c] + atp[c] + ocdcea[c]  -> amp[c] + octeACP[c] + ppi[c] 	(b2836)	  0.00	1000.00	  0.00
AADDGT	dtdp4aaddg[c] + unagamu[c]  -> dtdp[c] + h[c] + unagamuf[c] 	(b3793)	  0.00	1000.00	  0.00
AB6PGH	arbt6p[c] + h2o[c]  -> g6p[c] + hqn[c] 	(b2901)	  0.00	1000.00	  0.00
ABTA	4abut[c] + akg[c]  -> glu_DASH_L[c] + sucsal[c] 	((b2662) or (b1302))	  0.00	1000.00	  0.00
ABUTD	4abutn[c] + h2o[c] + nad[c]  -> 4abut[c] + 2 h[c] + nadh[c] 		  0.00	1000.00	  0.00
ABUTt2	4abut[e] + h[e]  -> 4abut[c] + h[c] 	(b2663)	  0.00	1000.00	  0.00
ACACCT	acac[c] + accoa[c]  -> aacoa[c] + ac[c] 	((b2222) and (b2221))	  0.00	1000.00	  0.00
ACACT1r	2 accoa[c]  <=> aacoa[c] + coa[c] 	(b2224)	-1000.00	1000.00	  0.00
ACACt2	acac[e] + h[e]  <=> acac[c] + h[c] 	(b2223)	-1000.00	1000.00	  0.00
ACALDi	acald[c] + coa[c] + nad[c]  -> accoa[c] + h[c] + nadh[c] 	(b0351)	  0.00	1000.00	  0.00
ACALDt	acald[e]  <=> acald[c] 		-1000.00	1000.00	  0.00
ACBIPGT	adocbip[c] + gtp[c] + h[c]  -> agdpcbi[c] + ppi[c] 	(b1993)	  0.00	1000.00	  0.00
ACCOACr	accoa[c] + atp[c] + hco3[c]  <=> adp[c] + h[c] + malcoa[c] + pi[c] 	((b0185) and (b3255) and (b3256) and (b2316))	-1000.00	1000.00	  0.00
ACCOAL	atp[c] + coa[c] + ppa[c]  -> adp[c] + pi[c] + ppcoa[c] 	(b0335)	  0.00	1000.00	  0.00
ACGAMT	uacgam[c] + udcpp[c]  -> ump[c] + unaga[c] 	(b3784)	  0.00	1000.00	  0.00
ACGApts	acgam[e] + pep[c]  -> acgam6p[c] + pyr[c] 	(((b2415) and (b2417) and (b2416) and (b1101)) or ((b2415) and (b2416) and (b0679)))	  0.00	1000.00	  0.00
ACGK	acglu[c] + atp[c]  -> acg5p[c] + adp[c] 	(b3959)	  0.00	1000.00	  0.00
ACGS	accoa[c] + glu_DASH_L[c]  -> acglu[c] + coa[c] + h[c] 	(b2818)	  0.00	1000.00	  0.00
ACHBS	2obut[c] + h[c] + pyr[c]  -> 2ahbut[c] + co2[c] 	(((b3670) and (b3671)) or ((b0077) and (b0078)) or ((b3768) and (b3769) and (b3767)))	  0.00	1000.00	  0.00
ACKr	ac[c] + atp[c]  <=> actp[c] + adp[c] 	((b2296) or (b3115) or (b1849))	-1000.00	1000.00	  0.00
ACLS	h[c] + 2 pyr[c]  -> alac_DASH_S[c] + co2[c] 	(((b3670) and (b3671)) or ((b0077) and (b0078)) or ((b3768) and (b3769) and (b3767)))	  0.00	1000.00	  0.00
ACMAMUT	uacmamu[c] + unaga[c]  -> h[c] + udp[c] + unagamu[c] 	(b3794)	  0.00	1000.00	  0.00
ACMANApts	acmana[e] + pep[c]  -> acmanap[c] + pyr[c] 	((b2415) and (b2416) and (b1818) and (b1817) and (b1819))	  0.00	1000.00	  0.00
ACNAMt2	acnam[e] + h[e]  -> acnam[c] + h[c] 	(b3224)	  0.00	1000.00	  0.00
ACNML	acnam[c]  -> acmana[c] + pyr[c] 	(b3225)	  0.00	1000.00	  0.00
ACOATA	ACP[c] + accoa[c]  <=> acACP[c] + coa[c] 	(b1091)	-1000.00	1000.00	  0.00
ACODA	acorn[c] + h2o[c]  -> ac[c] + orn[c] 	(b3957)	  0.00	1000.00	  0.00
ACONMT	acon_DASH_T[c] + amet[c]  -> aconm[c] + ahcys[c] 	(b1519)	  0.00	1000.00	  0.00
ACONT	cit[c]  <=> icit[c] 	((b1276) or (b0118))	-1000.00	1000.00	  0.00
ACOTA	acorn[c] + akg[c]  <=> acg5sa[c] + glu_DASH_L[c] 	(b3359)	-1000.00	1000.00	  0.00
ACPS1	apoACP[c] + coa[c]  -> ACP[c] + h[c] + pap[c] 	(b2563)	  0.00	1000.00	  0.00
ACS	ac[c] + atp[c] + coa[c]  -> accoa[c] + amp[c] + ppi[c] 	(b4069)	  0.00	1000.00	  0.00
ACt2r	ac[e] + h[e]  <=> ac[c] + h[c] 		-1000.00	1000.00	  0.00
ADA	adn[c] + h2o[c] + h[c]  -> ins[c] + nh4[c] 	(b1623)	  0.00	1000.00	  0.00
ADCL	4adcho[c]  -> 4abz[c] + h[c] + pyr[c] 	(b1096)	  0.00	1000.00	  0.00
ADCS	chor[c] + gln_DASH_L[c]  -> 4adcho[c] + glu_DASH_L[c] 	((b3360) and (b1812))	  0.00	1000.00	  0.00
ADD	ade[c] + h2o[c] + h[c]  -> hxan[c] + nh4[c] 	(b3665)	  0.00	1000.00	  0.00
ADEt2r	ade[e] + h[e]  <=> ade[c] + h[c] 	(b3654)	-1000.00	1000.00	  0.00
ADHEr	accoa[c] + 2 h[c] + 2 nadh[c]  <=> coa[c] + etoh[c] + 2 nad[c] 	(b1241)	-1000.00	1000.00	  0.00
ADK1	amp[c] + atp[c]  <=> 2 adp[c] 	(b0474)	-1000.00	1000.00	  0.00
ADK3	amp[c] + gtp[c]  <=> adp[c] + gdp[c] 	(b0474)	-1000.00	1000.00	  0.00
